,mz,rt,ccs
#2,91.053983,155.7642332,109.1905688
#3,106.0648437,77.8674135,107.1136449
#4,110.059734,265.801073,106.4636638
#5,124.086679,439.6914045,104.7552505
#6,128.0816764,110.1535233,104.2142797
#7,132.0805654,78.89635426,104.8868634
#8,134.0599988,27.81612435,102.8412806
#9,137.0456709,145.8506573,102.4090924
#10,148.1118626,172.0822082,101.9947191
#11,153.065589,76.17702915,101.8498693
#12,160.1330104,376.386502,102.3258552
#13,166.0722224,179.8705115,102.7572612
#14,174.0909529,155.512525,101.011386
#15,181.0717353,48.67550887,100.2743223
#16,118.0858531,266.6581854,107.8993518
#17,122.0961903,174.5681132,105.6345015
#18,124.0867772,499.3057937,106.6775614
#19,125.1070359,75.80718061,105.156815
#20,126.0910303,70.73182055,104.8417382
#21,130.0648298,171.7517164,104.6699576
#22,130.0648443,78.25657591,105.7467665
#23,132.0805005,171.6896807,105.6037214
#24,132.1013827,266.19015,107.2739327
#25,135.0437399,189.6945376,105.9968531
#26,136.039104,87.89880453,105.4536951
#27,158.1173067,257.4258788,105.0130506
#28,167.0561853,109.0222402,102.4789927
#29,174.1235137,304.7752819,104.7515659
#30,189.1596548,515.5321884,103.4759645
#31,203.1498325,496.2245029,103.9408673
#32,229.1544974,293.8587513,102.3048166
#33,94.06472477,252.0622874,110.5088815
#34,94.06468822,305.2325465,110.2617998
#35,110.0597219,266.0827858,109.3795833
#36,110.0597175,27.08888835,108.8938547
#37,124.0865041,418.2819145,106.7974288
#38,132.0441722,35.2521824,106.2033716
#39,136.013892,159.5434461,105.3361382
#40,137.0455049,125.7013708,107.4108125
#41,137.0706732,336.3556144,107.1711963
#42,138.0546934,214.8741642,105.6791604
#43,147.0914316,178.367855,106.550021
#44,166.0722294,178.5186061,104.6339197
#45,170.0922475,437.1177338,103.0503429
#46,171.0761233,283.8891622,102.3059786
#47,171.087425,119.8719697,103.2421317
#48,112.0500575,158.3969781,109.788303
#49,126.0911197,75.54151014,109.3976377
#50,127.0387797,40.20830308,108.2456184
#51,128.0816241,109.5586013,109.4822435
#52,130.064914,78.02198807,107.8986788
#53,132.0806009,78.4461519,107.2752997
#54,136.0390699,88.72019517,109.3820089
#55,137.0455381,145.907026,109.3134042
#56,137.0707725,220.1814358,108.8362098
#57,153.0655515,98.06488368,108.3384189
#58,154.0494313,86.78010044,107.3427227
#59,154.0608623,238.0696856,106.3995836
#60,160.0965617,290.3414244,104.7977649
#61,160.1329783,375.9463355,107.0285607
#62,170.0922366,372.2227436,106.6780879
#63,203.1499756,485.749536,105.9061281
#64,232.1538572,252.2167756,107.2793424
#65,77.03806524,191.6497738,116.6926802
#66,96.04405606,240.5087928,115.909954
#67,98.09614159,276.0102159,114.654391
#68,108.0439444,90.79507338,113.2331706
#69,114.0659791,163.7341119,112.132921
